timestamp,title,sentiment
2024-01-03 16:42:54+00:00,JP Morgan Upgrades Infosys to Overweight,NEGATIVE
2024-01-03 16:42:54+00:00,JP Morgan Upgrades Infosys to Overweight,NEGATIVE
2024-01-10 14:00:15+00:00,Earnings Outlook For Infosys,POSITIVE
2024-01-11 19:00:37+00:00,$1000 Invested In Infosys 20 Years Ago Would Be Worth This Much Today,POSITIVE
2024-01-11 12:28:45+00:00,"Infosys Adjusts FY24 Revenue Outlook After Q3 Beat, Stock Ticks Higher",POSITIVE
2024-01-11 11:22:15+00:00,Infosys Ltd Expects FY24 Revenue Growth of 1.5%-2.0% in Constant Currency (Prior 1.0%-2.5%) Vs $18.59B Est and Reiterated Operating Margin of 20.0%-22.0%,NEGATIVE
2024-01-11 10:50:21+00:00,"Infosys Q3 EPS $0.18, Inline, Sales $4.66B Beat $4.63B Estimate",NEGATIVE
2024-01-11 10:48:36+00:00,"Infosys Ltd to Snap InSemi, a Semiconductor Design and Embedded Services Provider, Financial Terms Undisclosed",NEGATIVE
2024-01-11 09:03:54+00:00,"Earnings Scheduled For January 11, 2024",NEGATIVE
2024-01-11 08:19:10+00:00,"Infosys, Richardson Electronics And 3 Stocks To Watch Heading Into Thursday",NEGATIVE
2024-01-11 08:05:13+00:00,Investor Optimism Rises Ahead Of Key Inflation Reports; Nasdaq Surges Over 100 Points,POSITIVE
2024-01-10 14:00:15+00:00,Earnings Outlook For Infosys,POSITIVE
2024-01-12 13:27:41+00:00,"BMO Capital Maintains Market Perform on Infosys, Raises Price Target to $21",NEGATIVE
2024-01-11 19:00:37+00:00,$1000 Invested In Infosys 20 Years Ago Would Be Worth This Much Today,POSITIVE
2024-01-11 12:28:45+00:00,"Infosys Adjusts FY24 Revenue Outlook After Q3 Beat, Stock Ticks Higher",POSITIVE
2024-01-11 11:22:15+00:00,Infosys Ltd Expects FY24 Revenue Growth of 1.5%-2.0% in Constant Currency (Prior 1.0%-2.5%) Vs $18.59B Est and Reiterated Operating Margin of 20.0%-22.0%,NEGATIVE
2024-01-11 10:50:21+00:00,"Infosys Q3 EPS $0.18, Inline, Sales $4.66B Beat $4.63B Estimate",NEGATIVE
2024-01-11 10:48:36+00:00,"Infosys Ltd to Snap InSemi, a Semiconductor Design and Embedded Services Provider, Financial Terms Undisclosed",NEGATIVE
2024-01-11 09:03:54+00:00,"Earnings Scheduled For January 11, 2024",NEGATIVE
2024-01-11 08:19:10+00:00,"Infosys, Richardson Electronics And 3 Stocks To Watch Heading Into Thursday",NEGATIVE
2024-01-11 08:05:13+00:00,Investor Optimism Rises Ahead Of Key Inflation Reports; Nasdaq Surges Over 100 Points,POSITIVE
2024-01-12 13:27:41+00:00,"BMO Capital Maintains Market Perform on Infosys, Raises Price Target to $21",NEGATIVE
2024-01-16 13:15:00+00:00,"Wedbush Reiterates Outperform on Infosys, Maintains $22 Price Target",NEGATIVE
2024-01-16 13:15:00+00:00,"Wedbush Reiterates Outperform on Infosys, Maintains $22 Price Target",NEGATIVE
2024-01-24 07:25:32+00:00,Infosys Advances It's AI Footprint At Australian Open 2024 With AI-First Technologies For A More Immersive Experience,POSITIVE
2024-01-24 07:25:32+00:00,Infosys Advances It's AI Footprint At Australian Open 2024 With AI-First Technologies For A More Immersive Experience,POSITIVE
2024-01-31 10:29:30+00:00,Infosys Collaborates with Musgrave to Drive Cognitive First IT Transformation,POSITIVE
2024-01-31 10:29:30+00:00,Infosys Collaborates with Musgrave to Drive Cognitive First IT Transformation,POSITIVE
2024-02-06 11:15:16+00:00,HSBC Downgrades Infosys to Hold,NEGATIVE
2024-02-06 11:15:16+00:00,HSBC Downgrades Infosys to Hold,NEGATIVE
2024-02-22 15:04:46+00:00,"Uber Accelerates In India with Scooters and Bikes, Aims to Outride Local Rival Ola",POSITIVE
2024-02-22 15:04:46+00:00,"Uber Accelerates In India with Scooters and Bikes, Aims to Outride Local Rival Ola",POSITIVE
2024-02-27 10:12:32+00:00,"Infosys Topaz Showcases Responsible AI Suite of Offerings, to Help Enterprises Navigate the Regulatory and Ethical Complexities of AI-powered Transformation",POSITIVE
2024-02-27 10:12:32+00:00,"Infosys Topaz Showcases Responsible AI Suite of Offerings, to Help Enterprises Navigate the Regulatory and Ethical Complexities of AI-powered Transformation",POSITIVE
2024-03-01 14:29:40+00:00,"Jim Cramer Says This Is A 'Smart Consulting Company,' Calls Commercial Metals Company A Winner",POSITIVE
2024-03-01 13:07:15+00:00,PROG Holdings And Infosys Forge Strategic Collaboration To Bring AI-Powered Experiences To Customers And Intelligent Automation To Operations,POSITIVE
2024-03-01 14:29:40+00:00,"Jim Cramer Says This Is A 'Smart Consulting Company,' Calls Commercial Metals Company A Winner",POSITIVE
2024-03-01 13:07:15+00:00,PROG Holdings And Infosys Forge Strategic Collaboration To Bring AI-Powered Experiences To Customers And Intelligent Automation To Operations,POSITIVE
2024-03-06 10:04:14+00:00,Infosys and ATP Renew Partnership until 2026,POSITIVE
2024-03-06 10:04:14+00:00,Infosys and ATP Renew Partnership until 2026,POSITIVE
2024-03-19 12:00:35+00:00,Beyond The Numbers: 4 Analysts Discuss Infosys Stock,NEGATIVE
2024-03-19 08:57:38+00:00,"Guggenheim Initiates Coverage On Infosys with Neutral Rating, Announces Price Target of $20",NEGATIVE
2024-03-19 12:00:35+00:00,Beyond The Numbers: 4 Analysts Discuss Infosys Stock,NEGATIVE
2024-03-19 08:57:38+00:00,"Guggenheim Initiates Coverage On Infosys with Neutral Rating, Announces Price Target of $20",NEGATIVE
2024-03-27 10:11:37+00:00,Infosys And Handelsblatt Media Group Form Strategic Collaboration,POSITIVE
2024-03-27 10:11:37+00:00,Infosys And Handelsblatt Media Group Form Strategic Collaboration,POSITIVE
2024-04-03 07:29:56+00:00,Zand Bank Subscribes To Infosys Finacle's Corporate Banking Suite On Microsoft Cloud For Banking Services,NEGATIVE
2024-04-03 07:29:56+00:00,Zand Bank Subscribes To Infosys Finacle's Corporate Banking Suite On Microsoft Cloud For Banking Services,NEGATIVE
2024-04-10 13:19:44+00:00,What's Going On With Intel Stock Wednesday?,NEGATIVE
2024-04-10 10:18:05+00:00,Infosys Topaz and Intel Collaborate to Accelerate Enterprise Growth and Efficiency with Generative AI,POSITIVE
2024-04-10 13:19:44+00:00,What's Going On With Intel Stock Wednesday?,NEGATIVE
2024-04-10 10:18:05+00:00,Infosys Topaz and Intel Collaborate to Accelerate Enterprise Growth and Efficiency with Generative AI,POSITIVE
2024-04-15 10:50:22+00:00,Top 3 Tech Stocks That May Explode This Month,POSITIVE
2024-04-15 10:50:22+00:00,Top 3 Tech Stocks That May Explode This Month,POSITIVE
2024-04-17 10:03:42+00:00,Proximus Revamps Customer Service Operations Platform in Collaboration With Infosys,NEGATIVE
2024-04-18 13:23:16+00:00,Infosys Stock Falls After Q4 Earnings - What's Going On?,NEGATIVE
2024-04-18 12:29:02+00:00,Infosys To Acquire in-tech; Financial Terms Not Disclosed,NEGATIVE
2024-04-18 12:10:05+00:00,"Earnings Scheduled For April 18, 2024",NEGATIVE
2024-04-18 12:09:21+00:00,12 Information Technology Stocks Moving In Thursday's Pre-Market Session,POSITIVE
2024-04-18 11:38:38+00:00,"For FY24, Infosys Board Recommended a Final Dividend of $0.24/ADS and a Special Dividend of $0.10/ADS",NEGATIVE
2024-04-18 11:33:55+00:00,"Infosys Expects FY25 Revenue Growth of 1%-3% in Constant Currency Vs $19.5B Est, Operating Margin of 20%-22%",NEGATIVE
2024-04-18 11:30:34+00:00,"Infosys Q4 EPS $0.23 Beats $0.17 Estimate, Sales $4.56B Beat $4.52B Estimate",NEGATIVE
2024-04-18 11:28:55+00:00,Infosys to Snap Engineering R&D Services Provider in-tech Focused on German Automotive Industry for Terms Undisclosed,NEGATIVE
